Predictor,Outcome,rho,p_value,n
VARITY_R_rankscore,Aβ42 (relative to WT),0.4245007117687227,0.013806782819259199,33
VARITY_ER_rankscore,Aβ42 (relative to WT),0.3914097114024994,0.024290696344653914,33
VARITY_R_LOO_rankscore,Aβ42 (relative to WT),0.4131361257843632,0.01686538523913959,33
VARITY_ER_LOO_rankscore,Aβ42 (relative to WT),0.40310854991581074,0.02001488962170975,33
ESM1b_converted_rankscore,Aβ42 (relative to WT),0.40093590847762434,0.02075790660895724,33
AlphaMissense_rankscore,Aβ42 (relative to WT),0.4452243685637312,0.009421084136844003,33
PHACTboost_rankscore,Aβ42 (relative to WT),0.43987632810050326,0.010420621416056682,33
MutFormer_rankscore,Aβ42 (relative to WT),0.4367009290754616,0.011055458449096209,33
MutScore_rankscore,Aβ42 (relative to WT),0.4987464482700986,0.0031335900631547834,33
CADD_raw_rankscore,Aβ42 (relative to WT),0.29614774065125066,0.09424500604319203,33
DANN_rankscore,Aβ42 (relative to WT),-0.14223633628614407,0.42975729599798707,33
fathmm-XF_coding_rankscore,Aβ42 (relative to WT),0.367844908111401,0.03519499827148938,33
Eigen-raw_coding_rankscore,Aβ42 (relative to WT),0.26990891712853826,0.12874331422222818,33
Eigen-PC-raw_coding_rankscore,Aβ42 (relative to WT),0.20573243156980223,0.25071606874612196,33
SIFT_converted_rankscore,Aβ42/40,0.10303595078878625,0.5682734447458819,33
SIFT4G_converted_rankscore,Aβ42/40,0.1895960690981143,0.29061502120374283,33
Polyphen2_HDIV_rankscore,Aβ42/40,-0.032112745518301095,0.8591893244681579,33
Polyphen2_HVAR_rankscore,Aβ42/40,0.0682939064494174,0.7057033357045879,33
MutationTaster_rankscore,Aβ42/40,0.2669301095324275,0.1331822615887334,33
MutationAssessor_rankscore,Aβ42/40,0.37780007214611727,0.03018380818987162,33
PROVEAN_converted_rankscore,Aβ42/40,0.43864928730593444,0.01066218181226652,33
VEST4_rankscore,Aβ42/40,0.4282848605479436,0.012897890433431336,33
MetaSVM_rankscore,Aβ42/40,-0.3570413818873528,0.04137577371454374,33
MetaLR_rankscore,Aβ42/40,0.29992476908263116,0.08992479834019171,33
MetaRNN_rankscore,Aβ42/40,0.27547012984567293,0.12075007752433509,33
M-CAP_rankscore,Aβ42/40,0.4346072599788359,0.01455926852790872,31
REVEL_rankscore,Aβ42/40,0.34358802875773276,0.05026270196167306,33
MutPred2_rankscore,Aβ42/40,0.49962391875528916,0.003072975570945052,33
MVP_rankscore,Aβ42/40,0.40986211066844064,0.017844722753087707,33
gMVP_rankscore,Aβ42/40,0.5527789559463838,0.0008498690062028614,33
MPC_rankscore,Aβ42/40,0.27781028871572117,0.11749920352934165,33
PrimateAI_rankscore,Aβ42/40,0.3297952464717917,0.060888808828418566,33
DEOGEN2_rankscore,Aβ42/40,0.42089428819866775,0.014722409558330572,33
BayesDel_addAF_rankscore,Aβ42/40,0.388466372428,0.025477383145722364,33
BayesDel_noAF_rankscore,Aβ42/40,0.30071041480119276,0.08904551836773236,33
ClinPred_rankscore,Aβ42/40,0.4120351153334853,0.017189593966991778,33
LIST-S2_rankscore,Aβ42/40,0.21613038706945092,0.2270307235090817,33
VARITY_R_rankscore,Aβ42/40,0.41487673681854387,0.016363249573765955,33
VARITY_ER_rankscore,Aβ42/40,0.405850409748358,0.019108822324901603,33
VARITY_R_LOO_rankscore,Aβ42/40,0.3979941621131962,0.02180022823020184,33
VARITY_ER_LOO_rankscore,Aβ42/40,0.41287088635850255,0.016943018754021343,33
ESM1b_converted_rankscore,Aβ42/40,0.32645216237172286,0.06371326645754063,33
AlphaMissense_rankscore,Aβ42/40,0.3874634471979793,0.02589246598589653,33
PHACTboost_rankscore,Aβ42/40,0.38094443320284505,0.028727991247233013,33
MutFormer_rankscore,Aβ42/40,0.4110321901034647,0.0174894253953881,33
MutScore_rankscore,Aβ42/40,0.4172517610958888,0.015698282420446585,33
CADD_raw_rankscore,Aβ42/40,0.2281654898296988,0.20156814123910624,33
DANN_rankscore,Aβ42/40,-0.2519224374885835,0.15727009789094806,33
fathmm-XF_coding_rankscore,Aβ42/40,0.19557041985402754,0.27539503294057666,33
Eigen-raw_coding_rankscore,Aβ42/40,0.14442123312297417,0.4226314572190578,33
Eigen-PC-raw_coding_rankscore,Aβ42/40,0.14241538266293285,0.4291708697895107,33
