Predictor,Outcome,rho,p_value,n
VARITY_R_rankscore,Aβ42 (relative to WT),0.3446153846153846,0.09160561662683199,25
VARITY_ER_rankscore,Aβ42 (relative to WT),0.29384615384615387,0.15395148560637864,25
VARITY_R_LOO_rankscore,Aβ42 (relative to WT),0.30769230769230765,0.1345826496160396,25
VARITY_ER_LOO_rankscore,Aβ42 (relative to WT),0.2907692307692308,0.15851094976487984,25
ESM1b_converted_rankscore,Aβ42 (relative to WT),0.37461538461538463,0.06503395442530739,25
AlphaMissense_rankscore,Aβ42 (relative to WT),0.26,0.20941828735873613,25
PHACTboost_rankscore,Aβ42 (relative to WT),0.18076923076923077,0.3871877324653511,25
MutFormer_rankscore,Aβ42 (relative to WT),0.32846153846153847,0.10891936168892881,25
MutScore_rankscore,Aβ42 (relative to WT),0.36122331885741343,0.07604514816801375,25
CADD_raw_rankscore,Aβ42 (relative to WT),0.10999999999999999,0.6006715408190598,25
DANN_rankscore,Aβ42 (relative to WT),-0.15541450566389245,0.45819963473186465,25
fathmm-XF_coding_rankscore,Aβ42 (relative to WT),0.4015384615384615,0.04664167971380561,25
Eigen-raw_coding_rankscore,Aβ42 (relative to WT),0.22461538461538463,0.2803881709186561,25
Eigen-PC-raw_coding_rankscore,Aβ42 (relative to WT),0.20923076923076922,0.315493655798588,25
SIFT_converted_rankscore,Aβ42/40,0.22280173841112255,0.28439238041519216,25
SIFT4G_converted_rankscore,Aβ42/40,0.28833263239486084,0.16218860362678988,25
Polyphen2_HDIV_rankscore,Aβ42/40,0.22937057839320266,0.27006005041917547,25
Polyphen2_HVAR_rankscore,Aβ42/40,0.4088035903712665,0.042456950143735614,25
MutationTaster_rankscore,Aβ42/40,0.4476665297726129,0.02483357857802327,25
MutationAssessor_rankscore,Aβ42/40,-0.09313065402348275,0.6579262867509604,25
PROVEAN_converted_rankscore,Aβ42/40,0.24120023527539747,0.24543576504615633,25
VEST4_rankscore,Aβ42/40,0.46008848706439454,0.020658614532547123,25
MetaSVM_rankscore,Aβ42/40,0.6906502500961907,0.00013257556048652775,25
MetaLR_rankscore,Aβ42/40,0.6313966910350134,0.0007122506554895377,25
MetaRNN_rankscore,Aβ42/40,0.29159454280502595,0.15727873417045532,25
M-CAP_rankscore,Aβ42/40,0.7071102580727384,0.00011176482281294229,24
REVEL_rankscore,Aβ42/40,0.6827626010003848,0.00016948616985564867,25
MutPred2_rankscore,Aβ42/40,0.3158299731437022,0.12405454158398575,25
MVP_rankscore,Aβ42/40,0.7289863570125649,3.576019518342527e-05,25
gMVP_rankscore,Aβ42/40,0.7132140928239026,6.286169673596965e-05,25
MPC_rankscore,Aβ42/40,0.1581377452866487,0.4502620670916876,25
PrimateAI_rankscore,Aβ42/40,0.24658588646177,0.23472867932427008,25
DEOGEN2_rankscore,Aβ42/40,0.4066166645711246,0.04368417512115865,25
BayesDel_addAF_rankscore,Aβ42/40,0.4293133374279802,0.03222333645236419,25
BayesDel_noAF_rankscore,Aβ42/40,0.5012502497030987,0.01069371298411702,25
ClinPred_rankscore,Aβ42/40,0.2254279710867351,0.27860577404585474,25
LIST-S2_rankscore,Aβ42/40,0.22619734982764547,0.27692479687123067,25
VARITY_R_rankscore,Aβ42/40,0.4200807925370559,0.03655378361787519,25
VARITY_ER_rankscore,Aβ42/40,0.40084632401429693,0.047056653991700295,25
VARITY_R_LOO_rankscore,Aβ42/40,0.4012310133847521,0.04682565570313216,25
VARITY_ER_LOO_rankscore,Aβ42/40,0.3916137791233726,0.052873704057826196,25
ESM1b_converted_rankscore,Aβ42/40,0.2654356656140738,0.19970842691037938,25
AlphaMissense_rankscore,Aβ42/40,0.2781304148390947,0.17823911331409387,25
PHACTboost_rankscore,Aβ42/40,0.37891902989835163,0.06176956154246348,25
MutFormer_rankscore,Aβ42/40,0.6270436738419423,0.000795143752287567,25
MutScore_rankscore,Aβ42/40,0.5405925355906117,0.005271031987435982,25
CADD_raw_rankscore,Aβ42/40,0.3119830794391505,0.1289540581966672,25
DANN_rankscore,Aβ42/40,0.11081185071181222,0.597969858999875,25
fathmm-XF_coding_rankscore,Aβ42/40,0.5370263611554303,0.0056396008555221555,25
Eigen-raw_coding_rankscore,Aβ42/40,0.4235429968711525,0.03487875041317146,25
Eigen-PC-raw_coding_rankscore,Aβ42/40,0.4262358224643387,0.03361867856926521,25
